date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,18.975,75.63658,0.0,26.576681,155.17068,21.225,0.147,Kansas
2023-10-13 01:00:00+00:00,18.125,78.746185,0.0,14.578888,159.77505,20.475,0.147,Kansas
2023-10-13 02:00:00+00:00,18.025002,79.49898,0.2,10.1887,237.99466,19.875,0.148,Kansas
2023-10-13 03:00:00+00:00,18.025002,82.90054,0.5,24.216522,168.85715,19.225,0.154,Kansas
2023-10-13 04:00:00+00:00,17.975,81.30851,0.0,28.08923,181.46877,18.875,0.154,Kansas
2023-10-13 05:00:00+00:00,17.775002,82.0732,0.0,24.884306,194.23732,18.625,0.154,Kansas
2023-10-13 06:00:00+00:00,18.125,79.001076,0.0,23.233252,220.60121,18.525002,0.154,Kansas
2023-10-13 07:00:00+00:00,17.925001,68.85927,0.0,16.954432,273.65216,18.475,0.154,Kansas
2023-10-13 08:00:00+00:00,17.025002,55.59648,0.0,19.296133,278.58353,18.275002,0.154,Kansas
2023-10-13 09:00:00+00:00,14.425,61.961727,0.0,20.674158,277.00116,17.725,0.154,Kansas
2023-10-13 10:00:00+00:00,12.775,58.854443,0.0,25.199999,270.0,16.875,0.153,Kansas
2023-10-13 11:00:00+00:00,12.075,58.066692,0.0,24.251284,264.0356,16.125,0.153,Kansas
2023-10-13 12:00:00+00:00,9.724999,66.461945,0.0,23.584808,257.66092,15.075,0.148,Kansas
2023-10-13 13:00:00+00:00,9.425,63.866222,0.0,25.277023,259.33026,14.425,0.148,Kansas
2023-10-13 14:00:00+00:00,10.425,57.854424,0.0,27.757376,260.29343,14.425,0.147,Kansas
2023-10-13 15:00:00+00:00,12.825,55.66694,0.0,35.069984,275.30084,15.075,0.147,Kansas
2023-10-13 16:00:00+00:00,13.025,54.36881,0.0,30.811037,276.70975,15.875,0.147,Kansas
2023-10-13 17:00:00+00:00,15.325,49.198112,0.0,38.439167,292.00076,16.975,0.146,Kansas
2023-10-13 18:00:00+00:00,14.925,52.08657,0.0,36.115017,293.49857,17.575,0.146,Kansas
2023-10-13 19:00:00+00:00,15.025,50.85984,0.0,37.358566,302.00534,17.825,0.146,Kansas
2023-10-13 20:00:00+00:00,14.575,50.38363,0.0,33.05145,302.9977,17.675001,0.145,Kansas
2023-10-13 21:00:00+00:00,15.625,44.99557,0.0,35.04596,303.6901,18.375,0.145,Kansas
2023-10-13 22:00:00+00:00,15.075,44.052917,0.0,33.985218,306.38446,18.325,0.145,Kansas
2023-10-13 23:00:00+00:00,14.125,43.623863,0.0,32.048088,308.15726,17.825,0.144,Kansas
2023-10-14 00:00:00+00:00,11.375,58.299873,0.0,28.79325,312.4664,16.475,0.145,Kansas
2023-10-14 01:00:00+00:00,11.224999,56.637836,0.0,28.006056,316.04153,15.575,0.144,Kansas
2023-10-14 02:00:00+00:00,10.875,56.54758,0.0,28.820242,318.54486,14.925,0.144,Kansas
2023-10-14 03:00:00+00:00,10.275,57.20218,0.0,30.293522,314.5186,14.325,0.144,Kansas
2023-10-14 04:00:00+00:00,10.075,58.178436,0.0,29.275326,314.50186,13.825,0.144,Kansas
2023-10-14 05:00:00+00:00,10.375,58.46148,0.0,28.515089,313.97705,13.575,0.144,Kansas
2023-10-14 06:00:00+00:00,10.675,58.329884,0.0,28.551426,318.06656,13.575,0.144,Kansas
2023-10-14 07:00:00+00:00,10.224999,60.748093,0.0,26.739542,313.36346,13.375,0.144,Kansas
2023-10-14 08:00:00+00:00,10.175,61.60144,0.0,27.238943,315.53537,13.275,0.144,Kansas
2023-10-14 09:00:00+00:00,10.175,62.698635,0.0,26.220753,315.55618,13.175,0.144,Kansas
2023-10-14 10:00:00+00:00,10.125,64.25238,0.0,26.518099,318.30194,13.125,0.143,Kansas
2023-10-14 11:00:00+00:00,10.125,65.62164,0.0,24.72495,317.95087,13.025,0.143,Kansas
2023-10-14 12:00:00+00:00,9.825,69.33921,0.0,24.216522,318.01288,12.474999,0.144,Kansas
2023-10-14 13:00:00+00:00,9.775,70.30498,0.0,23.838959,321.7455,12.474999,0.144,Kansas
2023-10-14 14:00:00+00:00,10.125,69.15836,0.0,24.344624,321.6048,12.675,0.144,Kansas
2023-10-14 15:00:00+00:00,10.625,68.54126,0.0,28.174458,333.43503,12.974999,0.143,Kansas
2023-10-14 16:00:00+00:00,11.375,65.6679,0.0,26.925497,330.35022,13.375,0.143,Kansas
2023-10-14 17:00:00+00:00,12.224999,62.087536,0.0,26.562046,327.17145,14.125,0.143,Kansas
2023-10-14 18:00:00+00:00,13.125,58.329662,0.0,26.064596,327.40744,15.025,0.143,Kansas
2023-10-14 19:00:00+00:00,13.325,56.975754,0.0,24.57511,328.17258,15.474999,0.143,Kansas
2023-10-14 20:00:00+00:00,13.275,57.161774,0.0,25.11758,332.7005,15.625,0.142,Kansas
2023-10-14 21:00:00+00:00,13.075,58.724228,0.0,23.933907,338.83865,15.575,0.142,Kansas
2023-10-14 22:00:00+00:00,12.724999,60.502808,0.0,23.143827,344.66666,15.325,0.142,Kansas
2023-10-14 23:00:00+00:00,12.425,60.85246,0.0,21.749481,347.57407,15.025,0.142,Kansas
2023-10-15 00:00:00+00:00,11.275,66.33426,0.0,20.275385,343.49554,14.224999,0.145,Kansas
2023-10-15 01:00:00+00:00,11.175,66.54354,0.0,19.483284,343.90912,13.875,0.144,Kansas
2023-10-15 02:00:00+00:00,10.974999,67.90254,0.0,20.380579,342.52515,13.575,0.144,Kansas
2023-10-15 03:00:00+00:00,10.575,70.95322,0.0,20.60823,340.6154,13.375,0.144,Kansas
2023-10-15 04:00:00+00:00,10.175,74.40149,0.0,21.129883,346.2005,13.125,0.144,Kansas
2023-10-15 05:00:00+00:00,9.775,77.48335,0.0,20.345573,346.70142,12.875,0.144,Kansas
2023-10-15 06:00:00+00:00,9.575,78.259026,0.0,21.749481,347.57407,12.625,0.145,Kansas
2023-10-15 07:00:00+00:00,9.575,77.98914,0.0,22.206486,343.03375,12.425,0.145,Kansas
2023-10-15 08:00:00+00:00,9.425,77.6966,0.0,22.26477,345.9637,12.325,0.145,Kansas
2023-10-15 09:00:00+00:00,9.325,79.03663,0.0,19.9954,346.4641,12.175,0.145,Kansas
2023-10-15 10:00:00+00:00,9.275,78.48428,0.0,18.161278,346.2392,12.025,0.145,Kansas
2023-10-15 11:00:00+00:00,8.925,78.43106,0.0,19.0392,344.6498,11.775,0.145,Kansas
2023-10-15 12:00:00+00:00,9.025,78.71875,0.0,19.245697,352.47626,12.275,0.146,Kansas
2023-10-15 13:00:00+00:00,8.775,79.229355,0.0,19.914217,347.4712,11.974999,0.146,Kansas
2023-10-15 14:00:00+00:00,9.075,76.304665,0.0,21.485697,351.3269,11.974999,0.145,Kansas
2023-10-15 15:00:00+00:00,9.825,72.30269,0.0,20.991426,354.09393,12.425,0.145,Kansas
2023-10-15 16:00:00+00:00,11.724999,59.213627,0.0,20.478907,349.8754,13.525,0.145,Kansas
2023-10-15 17:00:00+00:00,13.175,45.908546,0.0,23.177402,353.75818,14.925,0.145,Kansas
2023-10-15 18:00:00+00:00,12.974999,45.52421,0.0,21.077686,352.14676,15.375,0.145,Kansas
2023-10-15 19:00:00+00:00,13.275,44.322544,0.0,21.659918,344.57776,15.875,0.144,Kansas
2023-10-15 20:00:00+00:00,13.325,44.655746,0.0,22.427162,341.2741,16.225,0.144,Kansas
2023-10-15 21:00:00+00:00,13.125,44.43848,0.0,22.450264,344.18073,16.225,0.143,Kansas
2023-10-15 22:00:00+00:00,12.825,44.192665,0.0,24.014996,347.00537,16.025,0.143,Kansas
2023-10-15 23:00:00+00:00,11.825,45.193726,0.0,23.087763,349.21573,15.375,0.143,Kansas
2023-10-16 00:00:00+00:00,10.775,48.447834,0.0,19.416653,349.31512,14.224999,0.146,Kansas
2023-10-16 01:00:00+00:00,10.575,51.45373,0.0,17.114204,345.3791,13.625,0.146,Kansas
2023-10-16 02:00:00+00:00,10.375,54.438488,0.0,17.462782,345.67725,13.175,0.146,Kansas
2023-10-16 03:00:00+00:00,9.675,58.284874,0.0,16.055353,340.3461,12.625,0.146,Kansas
2023-10-16 04:00:00+00:00,8.875,61.288956,0.0,14.658676,335.32315,12.075,0.146,Kansas
2023-10-16 05:00:00+00:00,8.075,63.554153,0.0,14.168641,332.78397,11.474999,0.146,Kansas
2023-10-16 06:00:00+00:00,7.225,66.62528,0.0,11.983188,327.26477,10.875,0.146,Kansas
2023-10-16 07:00:00+00:00,6.5249996,69.651794,0.0,11.525623,321.34018,10.275,0.146,Kansas
2023-10-16 08:00:00+00:00,6.225,70.09233,0.0,12.599998,323.13,9.825,0.146,Kansas
2023-10-16 09:00:00+00:00,5.975,70.54749,0.0,13.392774,323.74606,9.425,0.146,Kansas
2023-10-16 10:00:00+00:00,5.6749997,71.510284,0.0,13.896187,323.42688,9.075,0.146,Kansas
2023-10-16 11:00:00+00:00,5.375,72.75091,0.0,14.291592,319.0857,8.825,0.146,Kansas
2023-10-16 12:00:00+00:00,4.625,80.02617,0.0,14.76439,315.0001,6.6749997,0.15,Kansas
2023-10-16 13:00:00+00:00,4.125,81.69568,0.0,14.003028,316.04153,6.875,0.15,Kansas
2023-10-16 14:00:00+00:00,6.0249996,72.87276,0.0,14.336861,308.8845,7.725,0.15,Kansas
2023-10-16 15:00:00+00:00,8.375,62.273605,0.0,15.281989,313.09085,9.224999,0.15,Kansas
2023-10-16 16:00:00+00:00,10.825,54.170067,0.0,14.512064,313.995,11.224999,0.15,Kansas
2023-10-16 17:00:00+00:00,12.775,48.83542,0.0,16.323528,311.42358,13.325,0.149,Kansas
2023-10-16 18:00:00+00:00,14.275,43.667126,0.0,15.815435,311.30853,15.175,0.148,Kansas
2023-10-16 19:00:00+00:00,15.425,40.694386,0.0,14.291592,310.91428,16.775002,0.148,Kansas
2023-10-16 20:00:00+00:00,16.175001,37.697163,0.0,12.738099,312.70938,17.875,0.147,Kansas
2023-10-16 21:00:00+00:00,16.375,37.755558,0.0,12.475961,313.83093,18.425001,0.147,Kansas
2023-10-16 22:00:00+00:00,16.075,38.484314,0.0,11.200571,315.0001,18.225,0.146,Kansas
2023-10-16 23:00:00+00:00,15.125,41.7823,0.0,8.404285,313.26434,17.375,0.146,Kansas
2023-10-17 00:00:00+00:00,11.675,54.3958,0.0,9.504272,307.30402,16.925001,0.139,Kansas
2023-10-17 01:00:00+00:00,10.925,57.572037,0.0,8.161764,311.42358,15.175,0.139,Kansas
2023-10-17 02:00:00+00:00,9.925,61.107048,0.0,8.161764,311.42358,13.724999,0.139,Kansas
2023-10-17 03:00:00+00:00,9.375,62.510517,0.0,7.289445,302.90524,12.525,0.139,Kansas
2023-10-17 04:00:00+00:00,10.525,56.056324,0.0,4.896529,287.1028,11.575,0.139,Kansas
2023-10-17 05:00:00+00:00,11.724999,50.131824,0.0,3.6179552,275.7105,10.724999,0.139,Kansas
2023-10-17 06:00:00+00:00,9.474999,58.442844,0.0,6.12,241.92761,10.075,0.139,Kansas
2023-10-17 07:00:00+00:00,7.075,68.5285,0.0,9.0,216.86998,9.474999,0.139,Kansas
2023-10-17 08:00:00+00:00,6.375,72.67803,0.0,8.891343,211.75943,9.075,0.139,Kansas
2023-10-17 09:00:00+00:00,6.125,73.414696,0.0,8.39657,210.96368,8.775,0.139,Kansas
2023-10-17 10:00:00+00:00,6.4249997,71.65579,0.0,8.435069,219.80553,8.575,0.139,Kansas
2023-10-17 11:00:00+00:00,6.225,72.13184,0.0,8.4963045,216.38445,8.425,0.139,Kansas
2023-10-17 12:00:00+00:00,5.9249997,74.702156,0.0,9.83268,203.7495,5.0249996,0.144,Kansas
2023-10-17 13:00:00+00:00,5.125,79.245186,0.0,10.028439,201.03758,5.6749997,0.144,Kansas
2023-10-17 14:00:00+00:00,8.375,65.93184,0.0,13.5515,196.9909,7.0249996,0.144,Kansas
2023-10-17 15:00:00+00:00,11.825,55.40665,0.0,11.659777,188.88058,9.275,0.144,Kansas
2023-10-17 16:00:00+00:00,15.325,44.91014,0.0,13.797912,187.49576,11.925,0.144,Kansas
2023-10-17 17:00:00+00:00,18.125,38.26449,0.0,16.454008,190.08054,14.525,0.143,Kansas
2023-10-17 18:00:00+00:00,20.025002,34.350246,0.0,18.161278,193.7608,16.825,0.143,Kansas
2023-10-17 19:00:00+00:00,21.225,32.580997,0.0,18.692286,195.6423,18.625,0.142,Kansas
2023-10-17 20:00:00+00:00,22.025002,31.573526,0.0,18.345877,195.94547,19.925001,0.141,Kansas
2023-10-17 21:00:00+00:00,22.325,31.328856,0.0,17.935081,190.40765,20.625,0.141,Kansas
2023-10-17 22:00:00+00:00,22.025002,32.018154,0.0,18.057508,184.57384,20.625,0.14,Kansas
2023-10-17 23:00:00+00:00,20.675001,35.639313,0.0,15.517629,176.00917,19.925001,0.14,Kansas
2023-10-18 00:00:00+00:00,18.975,37.185154,0.0,14.759999,180.0,19.825,0.134,Kansas
2023-10-18 01:00:00+00:00,17.975,39.450027,0.0,16.62249,175.03035,18.525002,0.133,Kansas
2023-10-18 02:00:00+00:00,16.825,42.720463,0.0,18.888851,172.33328,17.525002,0.133,Kansas
2023-10-18 03:00:00+00:00,16.075,44.02844,0.0,21.349546,174.19337,16.725,0.133,Kansas
2023-10-18 04:00:00+00:00,15.425,48.037315,0.0,22.682856,179.09064,16.075,0.133,Kansas
2023-10-18 05:00:00+00:00,15.175,50.9006,0.0,23.803596,183.46815,15.625,0.133,Kansas
2023-10-18 06:00:00+00:00,15.125,51.59985,0.0,23.933907,186.91113,15.275,0.133,Kansas
2023-10-18 07:00:00+00:00,14.925,52.08657,0.0,23.510508,191.48196,15.025,0.133,Kansas
2023-10-18 08:00:00+00:00,14.775,51.865395,0.0,24.627787,195.25517,14.825,0.133,Kansas
2023-10-18 09:00:00+00:00,14.575,50.914948,0.0,24.023088,199.24962,14.625,0.133,Kansas
2023-10-18 10:00:00+00:00,14.425,49.29422,0.0,24.144167,200.05618,14.474999,0.133,Kansas
2023-10-18 11:00:00+00:00,14.075,49.024315,0.0,18.723461,217.97166,14.275,0.132,Kansas
2023-10-18 12:00:00+00:00,13.525,52.80985,0.0,14.277983,236.3099,12.275,0.135,Kansas
2023-10-18 13:00:00+00:00,12.775,56.63716,0.0,13.684735,234.63745,12.375,0.135,Kansas
2023-10-18 14:00:00+00:00,14.525,54.572395,0.0,13.32,270.0,13.075,0.135,Kansas
2023-10-18 15:00:00+00:00,16.775002,51.156944,0.0,13.246826,317.2026,14.675,0.135,Kansas
2023-10-18 16:00:00+00:00,17.775002,52.48669,0.0,15.158522,355.91446,16.125,0.135,Kansas
2023-10-18 17:00:00+00:00,17.175001,55.823795,0.0,15.986595,352.23492,17.325,0.135,Kansas
2023-10-18 18:00:00+00:00,17.375,56.635902,0.1,16.904673,333.43503,18.025002,0.135,Kansas
2023-10-18 19:00:00+00:00,16.925001,53.710052,0.0,12.768586,319.574,17.925001,0.135,Kansas
2023-10-18 20:00:00+00:00,19.025002,47.875698,0.0,12.387348,305.53775,19.025002,0.135,Kansas
2023-10-18 21:00:00+00:00,20.575,41.17494,0.0,10.630672,298.30066,20.275002,0.134,Kansas
2023-10-18 22:00:00+00:00,20.375,40.55669,0.0,14.007655,295.90643,20.525002,0.134,Kansas
2023-10-18 23:00:00+00:00,19.475,43.47544,0.0,12.522619,288.43503,19.975,0.134,Kansas
2023-10-19 00:00:00+00:00,16.425001,50.88689,0.0,8.217153,241.1893,17.925001,0.144,Kansas
2023-10-19 01:00:00+00:00,15.474999,54.06972,0.0,11.304229,232.76509,16.825,0.144,Kansas
2023-10-19 02:00:00+00:00,15.125,55.10777,0.0,12.594856,239.03632,16.075,0.144,Kansas
2023-10-19 03:00:00+00:00,14.775,56.94895,0.0,14.003029,252.03076,15.474999,0.144,Kansas
2023-10-19 04:00:00+00:00,14.025,58.95897,0.0,11.5199995,270.0,14.974999,0.143,Kansas
2023-10-19 05:00:00+00:00,12.875,60.960335,0.0,9.028754,265.42615,14.375,0.143,Kansas
2023-10-19 06:00:00+00:00,12.775,59.05976,0.0,11.966953,276.91113,13.875,0.143,Kansas
2023-10-19 07:00:00+00:00,13.125,56.135628,0.0,14.007655,295.90643,13.625,0.143,Kansas
2023-10-19 08:00:00+00:00,12.675,59.2411,0.0,14.021525,299.1974,13.425,0.143,Kansas
2023-10-19 09:00:00+00:00,12.375,61.478664,0.0,14.973577,297.18103,13.224999,0.143,Kansas
2023-10-19 10:00:00+00:00,12.175,63.383083,0.0,15.408671,307.40543,13.025,0.143,Kansas
2023-10-19 11:00:00+00:00,11.675,66.651215,0.0,14.57889,302.90524,12.825,0.143,Kansas
2023-10-19 12:00:00+00:00,10.724999,75.52987,0.0,15.484185,305.53775,10.425,0.149,Kansas
2023-10-19 13:00:00+00:00,10.175,78.89084,0.0,15.94601,298.30066,10.724999,0.149,Kansas
2023-10-19 14:00:00+00:00,12.025,71.722206,0.0,14.33234,295.27768,11.525,0.149,Kansas
2023-10-19 15:00:00+00:00,14.375,62.375175,0.0,15.778518,297.1496,13.075,0.148,Kansas
2023-10-19 16:00:00+00:00,16.475,54.890694,0.0,17.238699,298.70584,14.974999,0.148,Kansas
2023-10-19 17:00:00+00:00,18.525002,48.72629,0.0,17.709658,296.56497,16.975,0.147,Kansas
2023-10-19 18:00:00+00:00,20.375,42.11671,0.0,17.10284,300.34317,18.875,0.147,Kansas
2023-10-19 19:00:00+00:00,21.975,34.430233,0.0,16.45007,293.1986,20.525002,0.146,Kansas
2023-10-19 20:00:00+00:00,23.325,29.901386,0.0,17.163355,279.65982,21.675001,0.145,Kansas
2023-10-19 21:00:00+00:00,24.175001,28.114246,0.0,17.873556,279.27252,22.325,0.144,Kansas
2023-10-19 22:00:00+00:00,24.325,27.475615,0.0,16.766108,284.93146,22.375,0.143,Kansas
2023-10-19 23:00:00+00:00,23.025002,30.983809,0.0,11.726277,287.87878,21.725,0.143,Kansas
2023-10-20 00:00:00+00:00,18.325,42.850956,0.0,11.113451,294.90472,21.775002,0.133,Kansas
2023-10-20 01:00:00+00:00,18.525002,40.729984,0.0,8.28,270.0,19.975,0.133,Kansas
2023-10-20 02:00:00+00:00,19.025002,37.592857,0.0,10.308831,257.90524,18.875,0.133,Kansas
2023-10-20 03:00:00+00:00,18.375,39.56558,0.0,10.805999,268.09088,18.075,0.132,Kansas
2023-10-20 04:00:00+00:00,18.625,40.900795,0.0,15.94601,298.30066,17.575,0.132,Kansas
2023-10-20 05:00:00+00:00,18.075,46.481747,0.0,15.778516,325.2221,17.225,0.132,Kansas
2023-10-20 06:00:00+00:00,16.925001,52.2612,0.0,13.849477,332.1028,16.825,0.132,Kansas
2023-10-20 07:00:00+00:00,15.775,57.20097,0.0,11.269782,333.43503,16.325,0.132,Kansas
2023-10-20 08:00:00+00:00,14.625,62.220448,0.0,9.220499,321.34018,15.724999,0.132,Kansas
2023-10-20 09:00:00+00:00,13.825,65.97551,0.0,9.585739,304.28693,15.175,0.132,Kansas
2023-10-20 10:00:00+00:00,13.275,68.37914,0.0,9.693296,301.32864,14.724999,0.132,Kansas
2023-10-20 11:00:00+00:00,12.675,71.11374,0.0,9.339208,297.55273,14.275,0.132,Kansas
2023-10-20 12:00:00+00:00,11.775,73.66606,0.0,9.885262,303.11136,11.125,0.139,Kansas
2023-10-20 13:00:00+00:00,10.724999,79.242905,0.0,9.511088,299.4758,11.325,0.139,Kansas
2023-10-20 14:00:00+00:00,13.525,67.73484,0.0,11.592895,295.76926,12.275,0.139,Kansas
2023-10-20 15:00:00+00:00,17.275002,56.41951,0.0,7.0911775,293.9625,14.224999,0.138,Kansas
2023-10-20 16:00:00+00:00,20.775002,45.35424,0.0,6.725354,285.52417,16.825,0.138,Kansas
2023-10-20 17:00:00+00:00,23.325,37.403023,0.0,7.9526596,264.80566,19.475,0.137,Kansas
2023-10-20 18:00:00+00:00,25.075,33.334145,0.0,8.557102,255.37909,21.825,0.137,Kansas
2023-10-20 19:00:00+00:00,26.475,29.95616,0.0,8.654986,253.0724,23.725,0.136,Kansas
2023-10-20 20:00:00+00:00,27.475,27.017908,0.0,9.360001,247.3801,25.025002,0.135,Kansas
2023-10-20 21:00:00+00:00,28.075,24.604694,0.0,10.464797,243.43501,25.625,0.134,Kansas
2023-10-20 22:00:00+00:00,28.025002,23.264584,0.0,10.464797,243.43501,25.525002,0.133,Kansas
2023-10-20 23:00:00+00:00,24.675001,36.53419,0.0,7.386582,226.97493,24.475,0.133,Kansas
2023-10-21 00:00:00+00:00,21.825,33.0969,0.0,8.699793,204.44394,24.425001,0.119,Kansas
2023-10-21 01:00:00+00:00,21.825,33.212418,0.0,12.24,208.07239,22.725,0.119,Kansas
2023-10-21 02:00:00+00:00,21.475,32.31134,0.0,13.896187,233.42688,21.525002,0.119,Kansas
2023-10-21 03:00:00+00:00,20.975,34.74454,0.0,14.8257065,240.94548,20.625,0.119,Kansas
2023-10-21 04:00:00+00:00,20.525002,38.822063,0.0,14.917212,250.25307,19.925001,0.119,Kansas
2023-10-21 05:00:00+00:00,19.675001,42.352604,0.0,13.276144,257.4712,19.325,0.119,Kansas
2023-10-21 06:00:00+00:00,18.375,46.246635,0.0,10.805999,271.90912,18.675001,0.119,Kansas
2023-10-21 07:00:00+00:00,17.425001,49.263805,0.0,11.119281,299.0545,18.075,0.119,Kansas
2023-10-21 08:00:00+00:00,16.725,49.754013,0.0,9.290511,324.46225,17.525002,0.119,Kansas
2023-10-21 09:00:00+00:00,15.875,51.80167,0.0,8.534353,332.3541,16.925001,0.119,Kansas
2023-10-21 10:00:00+00:00,14.375,59.045017,0.0,8.891344,338.6293,16.325,0.119,Kansas
2023-10-21 11:00:00+00:00,13.575,63.921482,0.0,10.931203,342.75845,15.625,0.119,Kansas
2023-10-21 12:00:00+00:00,14.525,58.677048,0.0,9.178235,25.559923,12.125,0.128,Kansas
2023-10-21 13:00:00+00:00,13.625,63.71395,0.0,9.885262,33.111355,12.525,0.128,Kansas
2023-10-21 14:00:00+00:00,16.525002,54.158318,0.0,12.819235,38.157276,13.675,0.128,Kansas
2023-10-21 15:00:00+00:00,19.925001,45.58026,0.0,11.019764,38.367523,15.775,0.127,Kansas
2023-10-21 16:00:00+00:00,22.975,37.176365,0.0,11.983188,32.73523,18.325,0.127,Kansas
2023-10-21 17:00:00+00:00,24.625,33.43442,0.0,13.684735,26.564985,20.825,0.127,Kansas
2023-10-21 18:00:00+00:00,25.575,30.84776,0.0,13.363711,27.255245,22.975,0.126,Kansas
2023-10-21 19:00:00+00:00,26.325,27.358812,0.0,13.779114,33.27491,24.625,0.125,Kansas
2023-10-21 20:00:00+00:00,26.775002,25.03171,0.0,13.684735,35.362556,25.725,0.125,Kansas
2023-10-21 21:00:00+00:00,26.575,23.454666,0.0,14.982228,35.217674,26.125,0.124,Kansas
2023-10-21 22:00:00+00:00,25.775002,22.675222,0.0,16.135872,38.65983,25.775002,0.124,Kansas
2023-10-21 23:00:00+00:00,23.925001,25.774586,0.0,12.738099,42.709366,24.675001,0.124,Kansas
2023-10-22 00:00:00+00:00,21.925001,30.243929,0.0,12.218805,44.999897,24.475,0.116,Kansas
2023-10-22 01:00:00+00:00,20.725,33.24592,0.0,13.755579,47.12111,22.875,0.116,Kansas
2023-10-22 02:00:00+00:00,19.525002,35.933277,0.0,15.072783,49.844074,21.575,0.116,Kansas
2023-10-22 03:00:00+00:00,18.275002,38.17352,0.0,15.629971,51.546265,20.475,0.116,Kansas
2023-10-22 04:00:00+00:00,17.125,41.477123,0.0,13.979872,55.491425,19.525002,0.116,Kansas
2023-10-22 05:00:00+00:00,16.175001,43.748543,0.0,13.891522,58.781662,18.625,0.116,Kansas
2023-10-22 06:00:00+00:00,15.575,42.661884,0.0,18.043148,61.389645,17.925001,0.116,Kansas
2023-10-22 07:00:00+00:00,15.125,41.7823,0.0,16.862455,73.88651,17.325,0.116,Kansas
2023-10-22 08:00:00+00:00,14.474999,43.41447,0.0,16.454008,79.919464,16.775002,0.116,Kansas
2023-10-22 09:00:00+00:00,13.875,45.456764,0.0,16.215992,87.45525,16.275,0.116,Kansas
2023-10-22 10:00:00+00:00,13.325,47.448597,0.0,16.65754,96.203354,15.825,0.116,Kansas
2023-10-22 11:00:00+00:00,12.875,49.211983,0.0,18.129137,96.84268,15.425,0.116,Kansas
2023-10-22 12:00:00+00:00,11.925,55.042606,0.0,18.430452,102.40741,13.625,0.121,Kansas
2023-10-22 13:00:00+00:00,11.474999,56.9028,0.0,19.386591,105.06854,13.575,0.121,Kansas
2023-10-22 14:00:00+00:00,12.875,52.63535,0.0,19.586117,107.10281,14.075,0.121,Kansas
2023-10-22 15:00:00+00:00,15.025,46.10799,0.0,22.406927,113.682106,15.224999,0.121,Kansas
2023-10-22 16:00:00+00:00,17.575,39.33427,0.0,23.34455,116.56499,16.925001,0.12,Kansas
2023-10-22 17:00:00+00:00,20.125,33.543114,0.0,25.071098,122.09256,18.775002,0.12,Kansas
2023-10-22 18:00:00+00:00,22.575,29.379086,0.0,26.14403,128.2902,20.725,0.12,Kansas
2023-10-22 19:00:00+00:00,24.375,28.664778,0.0,24.951921,133.83095,22.425001,0.12,Kansas
2023-10-22 20:00:00+00:00,25.525002,29.386738,0.0,24.195107,136.80872,23.775002,0.119,Kansas
2023-10-22 21:00:00+00:00,25.975,30.124916,0.0,23.950148,137.43669,24.525002,0.119,Kansas
2023-10-22 22:00:00+00:00,25.625,31.824978,0.0,25.20257,135.57864,24.625,0.119,Kansas
2023-10-22 23:00:00+00:00,24.425001,35.72975,0.0,23.675303,135.61598,24.025002,0.118,Kansas
2023-10-23 00:00:00+00:00,22.675001,37.47288,0.0,25.772078,138.96475,24.025002,0.116,Kansas
2023-10-23 01:00:00+00:00,22.225,40.94378,0.0,26.36616,145.0079,22.925001,0.116,Kansas
2023-10-23 02:00:00+00:00,21.975,43.002724,0.0,25.603062,152.35411,22.075,0.116,Kansas
2023-10-23 03:00:00+00:00,21.775002,45.32643,0.0,27.77838,161.09534,21.525002,0.116,Kansas
2023-10-23 04:00:00+00:00,21.325,50.317867,0.0,29.370352,168.69011,21.075,0.116,Kansas
2023-10-23 05:00:00+00:00,20.875,53.83117,0.0,27.834309,174.80566,20.675001,0.115,Kansas
2023-10-23 06:00:00+00:00,20.325,57.180912,0.0,24.842607,179.16971,20.275002,0.115,Kansas
2023-10-23 07:00:00+00:00,20.125,58.855408,0.0,23.40277,180.88138,20.025002,0.115,Kansas
2023-10-23 08:00:00+00:00,19.625,61.91911,0.0,24.905132,184.14455,19.725,0.115,Kansas
2023-10-23 09:00:00+00:00,19.325,63.500816,0.0,24.967499,185.79271,19.425001,0.115,Kansas
2023-10-23 10:00:00+00:00,18.975,68.39427,0.0,19.694992,198.10385,19.175001,0.115,Kansas
2023-10-23 11:00:00+00:00,18.325,74.07314,0.0,13.039754,186.3401,18.875,0.116,Kansas
2023-10-23 12:00:00+00:00,18.125,81.590195,0.0,22.180206,166.86597,16.525002,0.13,Kansas
2023-10-23 13:00:00+00:00,17.575,86.66339,0.2,16.75064,188.65247,16.775002,0.132,Kansas
2023-10-23 14:00:00+00:00,19.025002,82.49155,0.0,18.374111,182.2457,17.375,0.132,Kansas
2023-10-23 15:00:00+00:00,21.175001,72.68027,0.0,22.3229,179.07597,18.675001,0.132,Kansas
2023-10-23 16:00:00+00:00,23.525002,63.605988,0.0,27.021591,182.29056,20.475,0.132,Kansas
2023-10-23 17:00:00+00:00,25.475,58.428837,0.0,30.05515,186.18852,22.325,0.131,Kansas
2023-10-23 18:00:00+00:00,27.125,54.53794,0.0,30.657122,189.46225,24.075,0.131,Kansas
2023-10-23 19:00:00+00:00,28.375,50.857986,0.0,30.244286,188.90164,25.575,0.13,Kansas
